Name,Url,Rating,Review_vol,Hotel_name,Address,Ranking,Description,Class,Language,Hotel_styles
311. Vve Vve Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d15801636-Reviews-Vve_Vve_Hotel-Hong_Kong.html#REVIEWS,4.0,1,Vve Vve Hotel,"Flat 6-7, 4/F, Hai Phong Mansion, 101 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong China",#19 of 39 inns in Hong Kong,,,,
312. Fortune Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d6680375-Reviews-Fortune_Hotel-Hong_Kong.html#REVIEWS,3.5,64,Fortune Hotel,"Room 24, 5/F Wing Wah Building, No.14-24 Sai Yeung Choi Street South, Mong Kok, Kowloon, Hong Kong 000000 China",#7 of 144 motels in Hong Kong,"The newly renovated Fortune Hotel (economic hostel) is located at the heart of Mong Kok shopping area. Fortune Hotel features a variety of rooms including single bedroom, two, three, four and five people bedrooms, with a total of 33 rooms. We welcome all guests.",2.0 of 5 stars,"English, Chinese","['', 'Budget', 'Centrally Located']"
313. Park Guest House,https://www.tripadvisor.com/Hotel_Review-g294217-d1145763-Reviews-Park_Guest_House-Hong_Kong.html#REVIEWS,3.0,69,Park Guest House,"A1 15/Floor Block A, Chung King Mansion, 36-44 Nathan Road, Tsimshatsui, Kowloon, Hong Kong China",#367 of 802 hotels in Hong Kong,"Finding an ideal budget friendly hotel in Hong Kong does not have to be difficult. Welcome to Park Guest House, a nice option for travelers like you.
Guest rooms offer air conditioning, and Park Guest House makes getting online easy as free wifi is available.
You can also take advantage of some of the amenities offered by the hotel, including a 24 hour front desk, a concierge, and 24 hour check-in.
Given the close proximity of popular landmarks, such as Tsim Sha Tsui Promenade (0.1 mi) and Sandbox VR (0.2 mi), guests of Park Guest House Hotel can easily experience some of Hong Kong's most well known attractions.
Read more",,"English, Chinese, Filipino, Hindi and 1 more",[]
314. Ah Shan Hostel,https://www.tripadvisor.com/Hotel_Review-g294217-d577722-Reviews-Ah_Shan_Hostel-Hong_Kong.html#REVIEWS,3.5,332,Ah Shan Hostel,"Room 1406, 14/F, Sincere House, 83 Argyle Street, Mongkok, Kowloon, Hong Kong China",#16 of 145 hostels in Hong Kong,,1.5 of 5 stars,"English, Chinese, Filipino, Indonesian","['', 'Centrally Located', 'Budget']"
315. Concerto Inn,https://www.tripadvisor.com/Hotel_Review-g294217-d1737218-Reviews-Concerto_Inn-Hong_Kong.html#REVIEWS,3.5,111,Concerto Inn,"No.28 Hung Shing Yeh Beach, Yung Shue Wan, Lamma Island, Hong Kong China",#4 of 7 B&Bs in Hong Kong,"WE ARE PET FRIENDLY HOTEL. Concerto Inn is situated at the beach of Lamma island, one of the best outlying island -Hung Shing Yeh Beach ranked No. 1 in Hong Kong, allow pet lovers to unwid and relax entirely free here. Our beach Cafe is pet friendly also. WE ARE LOCATED IN ENVIRONMENTAL PROTECTION ZONE. The environmental control ensures fresh air and preserves the natural habitat of Lamma Island. WE HAVE TOTAL 24 ROOMS AVAILABLE FOR DAILY ACCOMMODATION AND 5 HOTEL APARTMENTS AVAILABLE FOR LONG LEASE. Concerto Inn has 6 room type, standard double room with mountain view, double room with open view balcony, superior room with sea view balcony, executive room with sea view balcony, theme room with sea view balcony or garden terrace, and apartment with open kitchen available for light cooking, basic facilities and wifi available. WE ACHIEVE QUALITY OF EXCELLENCE. We are the only hotel awarded member of Quality Tourism Service Association (QTSA) in outlying islands in Hong Kong.
Read more",3.0 of 5 stars,"English, Chinese","['', 'Mid-range']"
316. AMU Dreamhouse,https://www.tripadvisor.com/Hotel_Review-g294217-d17629100-Reviews-AMU_Dreamhouse-Hong_Kong.html#REVIEWS,3.5,5,AMU Dreamhouse,"No.29-31 Chatham Rd S, Tsim Sha Tsui Room A-C, 1/F, Windsor Mansion, Hong Kong China",#51 of 145 hostels in Hong Kong,"In Dreamhouse, travelers come and go, but each leaves their mark, each makes our hostel their home away from home. Placed at the heart of Hong Kong, you can easily roam the bustling streets beneath. Here is a home, cozy and friendly, to welcome you back after a tiring day of exploration. Here is a home to make friends to share stories with. Stay with us and create your next great experience!",5.0 of 5 stars,,
317. EAST Residences,https://www.tripadvisor.com/Hotel_Review-g294217-d17161228-Reviews-EAST_Residences-Hong_Kong.html#REVIEWS,5.0,22,EAST Residences,"Taikoo Place, 23 Tong Chong Street, Quarry Bay Taikoo Place, Hong Kong 999077 China",#199 of 802 hotels in Hong Kong,"Comprises 106 residences with a choice of studio, one-bedroom suite, two-bedroom suite or penthouse offering views of Hong Kong Island, Victoria Harbour and Kai Tak Cruise Terminal. The residences is equipped with a 24-hour gym, a stylish lounge, a reading area, a private dining area and kitchen available to rent for parties and a refreshment corner with landscaped terrace overlooking the vibrant neighbourhood of Taikoo Place, in which transport links, shopping malls, eateries, bars and art galleries are all around the corner within 10-minute walk. Our Guest Experience team is on hand to offer exceptional services and assistance around the clock.
Read more",,"English, Chinese",['Business']
318. Comfort Guest House,https://www.tripadvisor.com/Hotel_Review-g294217-d6896484-Reviews-Comfort_Guest_House-Hong_Kong.html#REVIEWS,3.0,58,Comfort Guest House,"Room 9FE5 Building E/Room FC5 Building Chung King Mansions, Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong China",#127 of 144 motels in Hong Kong,"Everyone needs a place to lay their weary head. For travelers visiting Hong Kong, Comfort Guest House is an excellent choice for rest and rejuvenation. Well-known for its budget friendly environment and proximity to great restaurants and attractions, Comfort Guest House makes it easy to enjoy the best of Hong Kong.
Rooms at Comfort Guest House offer a flat screen TV and air conditioning providing exceptional comfort and convenience, and guests can go online with free wifi.
Baggage storage is one of the conveniences offered at this motel.
Read more",2.0 of 5 stars,"English, Chinese","['', 'Budget']"
319. Shama Central Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d1631802-Reviews-Shama_Central_Hong_Kong-Hong_Kong.html#REVIEWS,4.0,95,Shama Central Hong Kong,"26 Peel Street, Central, Hong Kong China",#204 of 802 hotels in Hong Kong,"Located on Peel Street, in the heart of Central, our 56 chic contemporary serviced apartments provide calming retreats in the perfect location. The city’s most vibrant neighborhood boasts traditional market stalls, fashionable restaurants, antique shops and stylish boutiques all nestled side by side and offering a true slice of Hong Kong life. With their unparalleled location, lavish furnishings and our staff’s uncompromising care, the apartments of Shama Central exemplify luxurious city living.",,"English, Chinese","['Centrally Located', 'Modern']"
320. 3D Inn Hong Kong - Dragon,https://www.tripadvisor.com/Hotel_Review-g294217-d11850316-Reviews-3D_Inn_Hong_Kong_Dragon-Hong_Kong.html#REVIEWS,3.0,8,3D Inn Hong Kong - Dragon,"Flat F2 No.3 Mirador Mansion, No. 58 Nathan Road, Tsim Sha Tsui, Hong Kong China",#28 of 34 small hotels in Hong Kong,,1.0 of 5 stars,Budget,['']
321. Urbanwood Ap Lei Chau,https://www.tripadvisor.com/Hotel_Review-g294217-d21334159-Reviews-Urbanwood_Ap_Lei_Chau-Hong_Kong.html#REVIEWS,3.5,14,Urbanwood Ap Lei Chau,"No.29 San Shi Street,, Hong Kong China",#338 of 802 hotels in Hong Kong,"Located in the heart of Ap Lei Chau, Urbanwood Ap Lei Chau offers 50 rooms with four different levels of comfort. Whether you are visiting for business or leisure, we strive to make your stay pleasant and memorable.",,"English, Chinese",[]
322. Sleep In Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d8564567-Reviews-Sleep_In_Hotel-Hong_Kong.html#REVIEWS,4.5,27,Sleep In Hotel,"58 Nathan Road Flat F2, 11/F, Mirador Mansion, Hong Kong China",#3 of 8 lodges in Hong Kong,,,English,['Budget']
323. Ashoka Hostel,https://www.tripadvisor.com/Hotel_Review-g294217-d1196564-Reviews-Ashoka_Hostel-Hong_Kong.html#REVIEWS,3.0,134,Ashoka Hostel,"A Blk. Flr. 13, A4 Chung King Mansion, 36 - 44 Nathan Road , Kowloon, Hong Kong China",#39 of 132 guest houses in Hong Kong,"Everyone needs a place to lay their weary head. For travelers visiting Hong Kong, Ashoka Guest House is an excellent choice for rest and rejuvenation. Well-known for its budget friendly environment and proximity to great restaurants and attractions, Ashoka Guest House makes it easy to enjoy the best of Hong Kong.
The rooms offer air conditioning and a fireplace, and getting online is possible, as free wifi is available, allowing you to rest and refresh with ease.
Ashoka Guest House Hotel features a 24 hour front desk, a concierge, and 24 hour check-in. In addition, as a valued Ashoka Guest House guest, you can enjoy an on-site restaurant that is available on-site. Guests arriving by vehicle have access to parking.
Read more",2.0 of 5 stars,"English, Chinese, Filipino, Hindi and 8 more","['', 'Budget', 'Centrally Located']"
324. Fortunate Guest House,https://www.tripadvisor.com/Hotel_Review-g294217-d2664037-Reviews-Fortunate_Guest_House-Hong_Kong.html#REVIEWS,3.5,26,Fortunate Guest House,"A1-A2, 11th Floor, Block A, Chung King Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong China",#33 of 145 hostels in Hong Kong,,2.0 of 5 stars,"English, Chinese, Filipino","['', 'Budget']"
325. Om Guest House,https://www.tripadvisor.com/Hotel_Review-g294217-d7807547-Reviews-Om_Guest_House-Hong_Kong.html#REVIEWS,4.0,5,Om Guest House,"9/F, D-Block, D1-Flat, Chungking Mansion, No.36-44 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong 00852 China",#41 of 132 guest houses in Hong Kong,Om Guest House is located at D block chungking mansion in the main city of hong kong. Tsim Sha Tsui is well known for it's tourist attraction is well connected through MTR (Local Train) which is just 100 mtrs away it is just 200 mts away Avenue of stars one of the best tourist attraction of hong kong along the sea side. The rooms are clean and tidy.,2.0 of 5 stars,"English, Chinese, Hindi, Nepali","['', 'Budget']"
326. Day and Night Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d2489750-Reviews-Day_and_Night_Hotel-Hong_Kong.html#REVIEWS,3.0,119,Day and Night Hotel,"Flat D8, E2, 10 Floor, Block D, Chungking Mansion Building, 36-44 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong China",#57 of 145 hostels in Hong Kong,"Our hostel is a part of the China of Dhillon Hotels Hong Kong Ltd. And is located at the heart of the city center and is catering to a lot of tourists and backpackers from Europe, America, Australia, Canada and rest of the world. We have single bed rooms for one to two persons and twin bedrooms for two to four people. We have facilities you can compare with any hotel. Our guesthouse is equipped with the latest CCTV surveillance systems and safe deposit box to ensure your belongings are safe all the time during your stay. Our guest house is renovated recently and the rooms are clean, spacious and comfortable. Our rooms are of superior quality with en-suite shower and toilet, hot and cold water 24 hours a day. Each room has a air conditioning, telephone for free local calls and remote control colored TV English and other regional channels. We have installed the latest High Speed Wi-Fi broadband to all our rooms and the lobby. We also have a business desk at the reception for fax, printouts, photocopy, scanning services. We can also arrange China Visa's in 24 hours and make travel arrangements during your stay in Hong Kong. Please feel free to approach our staff anytime and will find that our staff is friendly, hospitable and speak fluent English.
Read more",2.0 of 5 stars,"English, Chinese, Filipino, Hindi and 1 more","['', 'Budget']"
327. Dhillon Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d7264297-Reviews-Dhillon_Hotel-Hong_Kong.html#REVIEWS,3.0,37,Dhillon Hotel,"E4, 10/F, Block E, No.36-44 Nathan Road, Tsim Sha Tsui, Hong Kong China",#20 of 34 small hotels in Hong Kong,"Dhillon Hotel is an excellent choice for travelers visiting Hong Kong, offering a budget friendly environment alongside many helpful amenities designed to enhance your stay.
For those interested in checking out popular landmarks while visiting Hong Kong, Dhillon Hotel is located a short distance from Tsim Sha Tsui Promenade (0.2 mi) and Central (1.2 mi).
Rooms at Dhillon Hotel provide air conditioning, a refrigerator, and a desk, and guests can stay connected with free wifi.
In addition, while staying at Dhillon Hotel guests have access to a 24 hour front desk, a concierge, and room service.
Read more",2.5 of 5 stars,"English, Chinese, Filipino, Hindi and 2 more","['', 'Centrally Located', 'Budget']"
328. Mingle Place By The Park,https://www.tripadvisor.com/Hotel_Review-g294217-d1407962-Reviews-Mingle_Place_By_The_Park-Hong_Kong.html#REVIEWS,3.0,143,Mingle Place By The Park,"No.143 Wanchai Road,Wanchai, Hong Kong China",#502 of 802 hotels in Hong Kong,"Experience Old Colonial Hong Kong at this Unique Culture Hotel! This hotel is based on a vintage 1960's old Chinese residential building with splashes of colonial architectural style (e.g. small balconies facing the main street), carefully restored for a truely unique, authentic experience!",3.0 of 5 stars,"English, Chinese","['', 'Centrally Located']"
329. Metacity Living,https://www.tripadvisor.com/Hotel_Review-g294217-d25188390-Reviews-Metacity_Living-Hong_Kong.html#REVIEWS,3.0,1,Metacity Living,"182 Nathan Road 1/f, Hong Kong China",#6 of 8 lodges in Hong Kong,"metacity living is a brand newly renovated hotel in the heart of Tsim Sha Tsui, Hong Kong. 2 Mins walk away from Knutsford Terrace and within walking distance of Harbour City, we offer no frills, clean spacious rooms with open views.",,,
330. Dadol Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d4520447-Reviews-Dadol_Hotel-Hong_Kong.html#REVIEWS,2.5,17,Dadol Hotel,"16 Kimberley Road, Tsim Sha Tsui 1/F Champagine Court, Hong Kong China",#562 of 802 hotels in Hong Kong,"Located at the center of Tsim Sha Tsui (TST), Dadol Hotel has the most convenient access to all major attractions and must-see places. Within a 3-minute walk perimeter, you will find the exits to the TST subway, pubs and restaurants, 5-star shopping malls, specialised local cuisine, and a lush 33-acres Kowloon Park for a quiet and refreshing walk.",2.0 of 5 stars,"English, Chinese","['', 'Budget']"
The Fullerton Ocean Park Hotel Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d24150221-Reviews-The_Fullerton_Ocean_Park_Hotel_Hong_Kong-Hong_Kong.html?spAttributionToken=MjE4MjQ3MjQ#REVIEWS,4.5,1065,The Fullerton Ocean Park Hotel Hong Kong,"3 Ocean Drive, Aberdeen, Hong Kong China",#83 of 802 hotels in Hong Kong,,,"English, Chinese",[]
331. Espace Elastique B&B,https://www.tripadvisor.com/Hotel_Review-g294217-d1905402-Reviews-Espace_Elastique_B_B-Hong_Kong.html#REVIEWS,4.5,110,Espace Elastique B&B,"No.57 Kat Hing Street, Tai O, Lantau, N.T., Hong Kong China",#1 of 7 B&Bs in Hong Kong,"Espace Elastique B&B offers boutique hotel style accommodation in Tai O, a traditional fishing village in Hong Kong. The village is a rare living heritage in the territory and an acute contrast to the fast-paced city. Espace Elastique is set in a village house of simplistic design. All guestrooms are done up with modern furnishings and equipped with en suit bathrooms. Furthermore, the compact B&B is equipped with green sit-out area for a complete getaway experience.",,"English, French, Chinese, Finnish",['Charming']
332. The Empire Hotel Hong Kong - Causeway Bay,https://www.tripadvisor.com/Hotel_Review-g294217-d1236984-Reviews-The_Empire_Hotel_Hong_Kong_Causeway_Bay-Hong_Kong.html#REVIEWS,4.0,667,The Empire Hotel Hong Kong - Causeway Bay,"8 Wing Hing Street Causeway Bay, Hong Kong China",#171 of 802 hotels in Hong Kong,"Located within a 5-minute walk’s from Tin Hau MTR station, the Empire Hotel Causeway Bay is tucked away from the hustle and bustle and yet within walking distance of major shopping areas and business districts in Causeway Bay. The hotel provides 280 guest rooms fully furnished with a select range of in-room facilities and amenities for business travelers and tourists alike. Each room is equipped with Wi-Fi access, 42” flat-panel television set, and quality in-room amenities.",4.0 of 5 stars,"English, Chinese","['', 'Modern']"
333. Maple Leaf Guest House,https://www.tripadvisor.com/Hotel_Review-g294217-d1196518-Reviews-Maple_Leaf_Guest_House-Hong_Kong.html#REVIEWS,4.0,123,Maple Leaf Guest House,"E4, Block E, 12/ Floor, Chung King Mansions, 36-44 Nathan Road, Kowloon, Hong Kong China",#5 of 144 motels in Hong Kong,"Less than a minutes' walk from Tsim Sha Tsui MTR Station (Exit E), Maple Leaf Guest House offers basic air-conditioned rooms with free Wi-Fi. It is a short 2-minute walk from Kowloon Park and Ocean Terminal. Located within the famous ChungKing Mansions, Maple Leaf Guest House is just 5 minutes' walk from Victoria Harbour, the Avenue of Stars and Star Ferry Terminal. Hong Kong International Airport is a 30-minute drive away. Simply furnished, all rooms come with a flat-screen TV and a work desk. Private bathrooms are equipped with shower facilities.",2.0 of 5 stars,"English, Chinese","['', 'Budget']"
334. Oi Suen Guesthouse,https://www.tripadvisor.com/Hotel_Review-g294217-d1648655-Reviews-Oi_Suen_Guesthouse-Hong_Kong.html#REVIEWS,3.5,166,Oi Suen Guesthouse,"R811-812, 8/F Sincere House, No.83 Argyle Street, Mongkok, Kowloon, Hong Kong China",#236 of 802 hotels in Hong Kong,"Oi Suen Guesthouse is located at Hong Kong shopping center, Mongkok.We are newly established,comfort,clean and tidy,providing free computer Internet access,WIFI,cool and hot water,towel and personal appliances etc.All railway and bus stations can be reached within 5 minutes which is convenience for you to travel,visit and stay with us. Mongkok is crowded for 24hours,so the eating,shopping……all are surroundings.Even Hong Kong People ourselves also tend to book a hostel for our relatives in Mongkok as it is too convenience!We believe that nothing is more important then communication. We are pleased to be a travel consultant and solve your doubt with email, msn, facebook for communication. We wish the relationship between us is friendship. Our staffs are friendly and keen to make a recommendation about shopping and eating for you.So, OiSuen Guesthouse is your best choice!
Read more",2.5 of 5 stars,"English, Chinese","['', 'Budget']"
335. Mingle Place With The Star,https://www.tripadvisor.com/Hotel_Review-g294217-d1605116-Reviews-Mingle_Place_With_The_Star-Hong_Kong.html#REVIEWS,3.5,56,Mingle Place With The Star,"No.137 Wanchai Road, Hong Kong China",#263 of 802 hotels in Hong Kong,"Welcome to Mingle Place With The Star, your Hong Kong “home away from home.” Mingle Place With The Star aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year.
Given the close proximity of popular landmarks, such as Wan Chai (0.3 mi) and Causeway Bay (0.5 mi), guests of Mingle Place With The Star can easily experience some of Hong Kong's most well known attractions.
Free wifi is offered to guests, and rooms at Mingle Place With The Star offer air conditioning and a refrigerator.
Read more",3.0 of 5 stars,"English, Chinese",['']
336. Sunny Day Hotel (Mongkok),https://www.tripadvisor.com/Hotel_Review-g294217-d1474288-Reviews-Sunny_Day_Hotel_Mongkok-Hong_Kong.html#REVIEWS,3.5,139,Sunny Day Hotel (Mongkok),"No.419 Reclamation Street, Mongkok, Kowloom, Hong Kong China",#241 of 802 hotels in Hong Kong,"If you’re looking for a family-friendly hotel in Hong Kong, look no further than Sunny Day Hotel (Mongkok).
Nearby landmarks such as The Lounge & Bar at The Ritz-Carlton, Hong Kong (1.1 mi) and Sandbox VR (1.4 mi) make Sunny Day Hotel (Mongkok) a great place to stay when visiting Hong Kong.
Rooms at Sunny Day Hotel (Mongkok) provide air conditioning, and guests can stay connected with free wifi.
In addition, while staying at Sunny Day Hotel (Mongkok) guests have access to a 24 hour front desk and baggage storage.
Read more",3.0 of 5 stars,"English, Chinese","['', 'Centrally Located', 'Family']"
337. Chelsea Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d1868184-Reviews-Chelsea_Hotel-Hong_Kong.html#REVIEWS,4.0,40,Chelsea Hotel,"8A Hanoi Road, Tsim Sha Tsui, Kowloon, Hong Kong China",#262 of 802 hotels in Hong Kong,"Everyone needs a place to lay their weary head. For travelers visiting Hong Kong, Chelsea Hotel is an excellent choice for rest and rejuvenation. Well-known for its budget friendly environment and proximity to great restaurants and attractions, Chelsea Hotel makes it easy to enjoy the best of Hong Kong.
Free wifi is offered to guests, and rooms at Chelsea Hotel offer air conditioning.
During your stay, take advantage of some of the amenities offered, including a concierge and room service.
Read more",3.0 of 5 stars,,[]
338. Kyoto Guest House,https://www.tripadvisor.com/Hotel_Review-g294217-d2224149-Reviews-Kyoto_Guest_House-Hong_Kong.html#REVIEWS,4.0,30,Kyoto Guest House,"Block A, 15th Floor, A3, Chung King Mansions, 36-44 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong China",#34 of 145 hostels in Hong Kong,"Kyoto Guest House is located on Nathan in the heart of Tsim Sha Tsui, one minute's walk from Tsim sha Tsui MTR station - Exit ETsim Sha Tsui is at the epicentre of accommodation, shopping, site seeing, cultural attractions, dining, entertainment, money changing, visa application and transportation in Kowloon, Hong Kong.All our clean, smoke free, comfortable and safe rooms offer free secure Wi-Fi, regularly cleaned air conditioning, colour television, cooling fan and door security lock. All our rooms (apart from one) offer a private en suite wet room (hot shower, sink and toilet) with near on-demand hot water.Tea and coffee making facilities, a microwave oven and a common refrigerator/freezer (subject to storage capacity) are available.An ironing board and steam iron are also available.We offer visa, laundry, dry cleaning and luggage storage services.
Read more",2.0 of 5 stars,English,"['', 'Budget']"
339. Ocean Guest House,https://www.tripadvisor.com/Hotel_Review-g294217-d1202969-Reviews-Ocean_Guest_House-Hong_Kong.html#REVIEWS,3.5,24,Ocean Guest House,"A4 15 F Block A Chung King Mansion, Yau Tsim Mong District, Hong Kong China",#287 of 802 hotels in Hong Kong,"Finding an ideal budget friendly hotel in Hong Kong does not have to be difficult. Welcome to Ocean Guest House, a nice option for travelers like you.
Given the close proximity of popular landmarks, such as Tsim Sha Tsui Promenade (0.1 mi) and Sandbox VR (0.2 mi), guests of Ocean Guest House can easily experience some of Hong Kong's most well known attractions.
Ocean Guest House offers guests an array of room amenities including a flat screen TV and air conditioning, and getting online is possible, as free wifi is available.
Read more",,"English, Chinese",['Budget']
340. Joyous Guest House,https://www.tripadvisor.com/Hotel_Review-g294217-d12275837-Reviews-Joyous_Guest_House-Hong_Kong.html#REVIEWS,3.5,4,Joyous Guest House,"40 Nathan Road Flat E2, 14/F, Block E, Chungking Mansion, Hong Kong China",#67 of 132 guest houses in Hong Kong,,2.5 of 5 stars,"English, Chinese",['']
The Fullerton Ocean Park Hotel Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d24150221-Reviews-The_Fullerton_Ocean_Park_Hotel_Hong_Kong-Hong_Kong.html?spAttributionToken=MjE4MjQ3MjQ#REVIEWS,4.5,1065,The Fullerton Ocean Park Hotel Hong Kong,"3 Ocean Drive, Aberdeen, Hong Kong China",#83 of 802 hotels in Hong Kong,,,"English, Chinese",[]
341. Garden Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d5774479-Reviews-Garden_Hotel-Hong_Kong.html#REVIEWS,4.0,7,Garden Hotel,"8-A,Yongle Building,No.34-36 Shuiqudao, Mong Kok, Hong Kong China",#18 of 144 motels in Hong Kong,"Finding an ideal budget friendly motel in Hong Kong does not have to be difficult. Welcome to Garden Hotel, a nice option for travelers like you.
While staying at Garden Hotel, visitors can check out The Lounge & Bar at The Ritz-Carlton, Hong Kong (1.5 mi) and Sky100 Hong Kong Observation Deck (1.5 mi), some of Hong Kong's top attractions.
Rooms at Garden Hotel offer a minibar and air conditioning providing exceptional comfort and convenience, and guests can go online with free wifi.
Read more",,"English, Chinese",[]
342. New Style Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d3498012-Reviews-New_Style_Hotel-Hong_Kong.html#REVIEWS,3.5,12,New Style Hotel,"Room1603 Xinxing Tower, No.607 Nathan Road, Kowloon, Hong Kong China",#21 of 144 motels in Hong Kong,"See why so many travelers make New Style Hotel their motel of choice when visiting Hong Kong. Providing an ideal mix of value, comfort and convenience, it offers a budget friendly setting with an array of amenities designed for travelers like you.
You’ll enjoy relaxing rooms that offer a flat screen TV and air conditioning, and you can stay connected during your stay as New Style Hotel offers guests free wifi.
The motel features a concierge, baggage storage, and 24 hour security.
Read more",,Chinese,['Budget']
343. YHA Ngong Ping SG Davis Youth Hostel,https://www.tripadvisor.com/Hotel_Review-g294217-d3651568-Reviews-YHA_Ngong_Ping_SG_Davis_Youth_Hostel-Hong_Kong.html#REVIEWS,3.0,37,YHA Ngong Ping SG Davis Youth Hostel,"Ngong Ping, Lantau Island, Hong Kong 852 China",#75 of 145 hostels in Hong Kong,"Situated in a spectacular landscape, YHA Ngong Ping SG Davis Hostel is the destination for hiking aficionados. The hostel is close to fascinating hiking trails including Ngong Ping Trail, Buddhist Ancient Walk, Nei Lak Shan, and the 934-metre Lantau Peak which offers sublime sunrise view. Major attractions like the Big Buddha, Po Lin Monastery, and the Wisdom Path are all within 15-minute walk.",,"English, Chinese",['Budget']
344. Wellyet Guest House,https://www.tripadvisor.com/Hotel_Review-g294217-d1778000-Reviews-Wellyet_Guest_House-Hong_Kong.html#REVIEWS,3.5,13,Wellyet Guest House,"No.54-64 Nathan Road, Kowloon District Room F3& A9, F14 Mirador Mansion, Hong Kong China",#29 of 144 motels in Hong Kong,"Wellyet Guest House is located at Tsim Sha Tsui,Free WiFi access is available.Each room here will provide you with a TV and air conditioning. Featuring a shower, private bathroom also comes with a hairdryer and free toiletries.Luggage storage is possible at this property.MTR Tsim Sha Tsui Station is at door front, 50 metres from iSquare and 400 metres from Harbour City. Direct Airport Bus",2.0 of 5 stars,"English, Chinese","['', 'Budget']"
345. New Tokyo Hostel,https://www.tripadvisor.com/Hotel_Review-g294217-d9581187-Reviews-New_Tokyo_Hostel-Hong_Kong.html#REVIEWS,3.0,14,New Tokyo Hostel,"Flat D8 Block D 16 F Chung King Mansion 36 44 Nathan Road Tsim Sha Tsui Kowloon, Hong Kong China",#88 of 132 guest houses in Hong Kong,"New Tokyo Hostel is an excellent choice for travelers visiting Hong Kong, offering a budget friendly environment alongside many helpful amenities designed to enhance your stay.
Nearby landmarks such as Tsim Sha Tsui Promenade (0.1 mi) and Sandbox VR (0.2 mi) make New Tokyo Hostel a great place to stay when visiting Hong Kong.
Free wifi is offered to guests, and rooms at New Tokyo Hostel offer air conditioning and a refrigerator.
During your stay, take advantage of some of the amenities offered, including room service.
Read more",,"English, Chinese",['Budget']
346. New International Guest House,https://www.tripadvisor.com/Hotel_Review-g294217-d1053486-Reviews-New_International_Guest_House-Hong_Kong.html#REVIEWS,3.0,43,New International Guest House,"11/floor A7, A Block Chung King Mansion, 36-44 Nathan Road, Tsim Sha Tsui Kowloon, Hong Kong China",#37 of 132 guest houses in Hong Kong,"Welcome to New International Guest House! We offer affordable Wi-Fi accommodation with exceptional comfort, located in the heart of HK’s shopping & entertainment mecca. The direct connection to the Victoria Harbor, numerous subway & bus links makes reaching Hong Kong's historical, cultural & architectural attraction easily with comfort. Its facilities are well improved to cater to tourists looking for Hotel Quality at Hostel Budget accommodation.",,"English, French, Chinese, Filipino",['Budget']
347. Tempo Inn - Cozy,https://www.tripadvisor.com/Hotel_Review-g294217-d13371442-Reviews-Tempo_Inn_Cozy-Hong_Kong.html#REVIEWS,3.0,7,Tempo Inn - Cozy,"242 Nathan Road, Jordan Flat B , 4/F, National Court,, Hong Kong China",#21 of 39 inns in Hong Kong,"See why so many travelers make Tempo Inn - Cozy their inn of choice when visiting Hong Kong. Providing an ideal mix of value, comfort and convenience, it offers a budget friendly setting with an array of amenities designed for travelers like you.
Rooms at Tempo Inn - Cozy offer air conditioning providing exceptional comfort and convenience, and guests can go online with free wifi.
Express check-in and check-out and baggage storage are some of the conveniences offered at this inn.
Read more",2.0 of 5 stars,"English, Chinese",['']
348. K&B Hostel,https://www.tripadvisor.com/Hotel_Review-g294217-d11849409-Reviews-K_B_Hostel-Hong_Kong.html#REVIEWS,3.5,4,K&B Hostel,"Flat H & I, 13/F, New Lucky House, 15 Jordan Road, Hong Kong China",#58 of 145 hostels in Hong Kong,,2.0 of 5 stars,"English, Chinese, Indonesian",['']
349. Singapore Youth Hostel,https://www.tripadvisor.com/Hotel_Review-g294217-d12884542-Reviews-Singapore_Youth_Hostel-Hong_Kong.html#REVIEWS,3.0,1,Singapore Youth Hostel,"Flat A8, Blook a, 8/F, Chungking Mansion, 36-44 Nathan Road, Hong Kong China",#83 of 145 hostels in Hong Kong,,2.0 of 5 stars,,[]
